Day,Weather,days_passed,mesh,gram,extraction_time
2024年11月2日,雨,12.0,8.0,15.3,28
2024年11月5日,晴,15.0,8.0,15.8,30
2024年11月7日,晴,17.0,7.9,16.4,37
2024年11月8日,晴,18.0,8.1,16.5,29
2024年11月9日,晴,11.0,8.1,15.5,32
2024年11月10日,晴,12.0,8.2,15.7,32
2024年11月12日,晴,14.0,8.1,15.9,29
2024年11月13日,晴,15.0,8.0,15.9,31
2024年11月14日,晴,16.0,8.0,16.4,31
2024年11月15日,くもり,11.0,8.0,16.4,30
2024年11月16日,くもり/雨,12.0,8.0,16.6,32
2024年11月17日,くもり,13.0,8.1,16.3,26
2024年11月19日,晴,15.0,8.1,16.3,28
2024年11月20日,晴,16.0,8.1,16.3,27
2024年11月20日,晴,8.0,8.0,16.4,31
2024年11月21日,晴,9.0,8.0,16.2,30
2024年11月22日,晴,10.0,8.0,16.2,32
2024年11月23日,くもり,11.0,8.0,16.0,29
2024年11月24日,くもり,12.0,8.1,16.7,35
2024年11月26日,くもり,14.0,8.1,16.2,26
2024年11月27日,晴,15.0,8.1,16.3,28
2024年11月28日,晴,16.0,8.1,16.5,27
2024年11月29日,晴,17.0,8.1,16.8,27
2024年11月30日,晴,11.0,8.1,15.5,34
