date,temperature,humidity
2024-11-01,8.0,71.9
2024-11-02,9.0,63.0
2024-11-03,8.3,72.4
2024-11-04,9.1,58.4
2024-11-05,9.7,69.2
2024-11-06,8.6,67.0
2024-11-07,10.6,65.0
2024-11-08,8.3,62.7
2024-11-09,7.8,68.7
2024-11-10,6.7,67.4
2024-11-11,11.4,67.2
2024-11-12,10.3,69.0
2024-11-13,7.8,59.1
2024-11-14,11.1,66.7
2024-11-15,8.6,63.6
2024-11-16,11.0,63.3
2024-11-17,10.1,71.3
2024-11-18,7.8,63.1
2024-11-19,8.6,64.3
2024-11-20,9.3,63.8
2024-11-21,9.3,60.9
2024-11-22,7.9,67.1
2024-11-23,9.9,61.1
2024-11-24,9.3,68.0
2024-11-25,9.6,60.4
2024-11-26,11.2,65.5
2024-11-27,7.6,69.8
2024-11-28,10.7,64.9
2024-11-29,8.1,64.8
2024-11-30,9.0,66.7
2024-12-01,3.2,63.8
2024-12-02,5.3,67.1
2024-12-03,5.3,65.7
2024-12-04,3.4,62.2
2024-12-05,3.2,67.2
2024-12-06,3.4,66.3
2024-12-07,2.2,70.7
2024-12-08,2.8,62.9
2024-12-09,3.0,69.7
2024-12-10,2.8,67.0
2024-12-11,3.2,65.1
2024-12-12,1.7,63.3
2024-12-13,4.1,69.6
2024-12-14,3.0,70.9
2024-12-15,2.4,66.7
2024-12-16,2.9,68.2
2024-12-17,3.4,65.5
2024-12-18,2.9,63.6
2024-12-19,5.9,68.6
2024-12-20,5.0,61.5
2024-12-21,2.6,61.7
2024-12-22,2.9,74.1
2024-12-23,1.8,63.4
2024-12-24,4.2,70.5
2024-12-25,3.5,69.2
2024-12-26,2.8,64.9
2024-12-27,4.7,63.4
2024-12-28,5.1,71.1
2024-12-29,6.0,66.8
2024-12-30,3.7,71.3
2024-12-31,2.7,67.0
2025-01-01,1.5,61.7
2025-01-02,3.7,66.3
2025-01-03,0.5,66.0
2025-01-04,3.5,61.5
2025-01-05,1.7,64.4
2025-01-06,3.1,67.5
2025-01-07,1.0,62.2
2025-01-08,3.2,68.1
2025-01-09,2.2,62.0
2025-01-10,0.6,63.1
2025-01-11,1.5,69.2
2025-01-12,0.8,66.6
2025-01-13,1.9,59.9
2025-01-14,1.3,65.0
2025-01-15,2.3,64.6
2025-01-16,0.9,69.1
2025-01-17,3.4,68.5
2025-01-18,3.3,65.3
2025-01-19,2.8,67.2
2025-01-20,0.8,65.9
2025-01-21,1.9,62.2
2025-01-22,1.1,67.6
2025-01-23,1.9,62.6
2025-01-24,1.9,62.9
2025-01-25,1.7,60.5
2025-01-26,2.4,69.9
2025-01-27,2.3,65.2
2025-01-28,3.3,64.5
2025-01-29,2.9,64.2
2025-01-30,2.0,64.5
2025-01-31,3.3,59.8
2025-02-01,1.8,60.2
2025-02-02,2.8,63.0
2025-02-03,3.5,58.4
2025-02-04,4.4,66.8
2025-02-05,3.2,59.5
2025-02-06,2.1,64.7
2025-02-07,3.5,59.5
2025-02-08,1.8,66.4
2025-02-09,3.0,66.7
2025-02-10,2.0,60.1
2025-02-11,1.4,60.2
2025-02-12,4.4,58.6
2025-02-13,3.1,64.9
2025-02-14,1.9,61.1
2025-02-15,2.4,58.1
2025-02-16,3.6,55.0
2025-02-17,2.0,58.3
2025-02-18,3.6,60.2
2025-02-19,2.4,59.8
2025-02-20,-0.3,57.4
2025-02-21,3.0,61.8
2025-02-22,4.9,61.3
2025-02-23,2.1,65.3
2025-02-24,2.8,63.1
2025-02-25,0.9,60.7
2025-02-26,5.7,62.3
2025-02-27,1.7,63.1
2025-02-28,4.4,60.3
2025-03-01,7.8,60.3
2025-03-02,6.5,66.7
2025-03-03,4.8,65.4
2025-03-04,7.3,55.0
2025-03-05,6.5,60.2
2025-03-06,6.3,59.0
2025-03-07,7.6,62.1
2025-03-08,6.1,61.5
2025-03-09,7.9,64.0
2025-03-10,7.8,64.0
2025-03-11,5.6,58.3
2025-03-12,5.1,66.6
2025-03-13,5.8,66.8
2025-03-14,4.3,48.7
2025-03-15,5.7,51.7
2025-03-16,7.3,58.3
2025-03-17,8.5,49.2
2025-03-18,5.5,63.3
2025-03-19,6.5,59.9
2025-03-20,7.8,57.6
2025-03-21,4.3,57.7
2025-03-22,6.4,53.7
2025-03-23,7.0,57.5
2025-03-24,5.8,56.5
2025-03-25,7.3,59.9
2025-03-26,6.0,56.0
2025-03-27,6.1,57.1
2025-03-28,7.5,65.8
2025-03-29,6.9,59.9
2025-03-30,6.3,51.5
2025-03-31,6.6,51.3
2025-04-01,9.1,63.6
2025-04-02,12.2,61.7
2025-04-03,11.7,50.4
2025-04-04,10.1,55.2
2025-04-05,12.1,58.3
2025-04-06,14.3,56.3
2025-04-07,13.7,54.7
2025-04-08,12.5,70.6
2025-04-09,13.1,51.8
2025-04-10,11.8,66.6
2025-04-11,12.3,51.9
2025-04-12,11.0,50.4
2025-04-13,10.8,69.6
2025-04-14,11.5,54.2
2025-04-15,12.8,64.5
2025-04-16,13.8,61.4
2025-04-17,11.2,60.1
2025-04-18,13.8,67.0
2025-04-19,10.9,61.8
2025-04-20,13.3,66.4
2025-04-21,12.3,54.9
2025-04-22,11.6,54.1
2025-04-23,13.0,60.7
2025-04-24,10.8,60.3
2025-04-25,12.7,57.2
2025-04-26,12.4,66.0
2025-04-27,11.7,67.7
2025-04-28,10.5,61.4
2025-04-29,12.9,54.5
2025-04-30,12.6,61.6
