date,year,month,day,day_of_week,weather,days_passed,mesh,gram,extraction_time,bean_name,user_name,temperature,humidity
2024-11-02,2024,11,2,5,雨,12.0,8.0,15.3,28,エチオピア イルガチェフェ,コーヒー愛好家,9.0,63.0
2024-11-05,2024,11,5,1,晴れ,15.0,8.0,15.8,30,エチオピア イルガチェフェ,コーヒー愛好家,9.7,69.2
2024-11-07,2024,11,7,3,晴れ,17.0,7.9,16.4,37,エチオピア イルガチェフェ,コーヒー愛好家,10.6,65.0
2024-11-08,2024,11,8,4,晴れ,18.0,8.1,16.5,29,エチオピア イルガチェフェ,コーヒー愛好家,8.3,62.7
2024-11-09,2024,11,9,5,晴れ,11.0,8.1,15.5,32,エチオピア イルガチェフェ,コーヒー愛好家,7.8,68.7
2024-11-10,2024,11,10,6,晴れ,12.0,8.2,15.7,32,エチオピア イルガチェフェ,コーヒー愛好家,6.7,67.4
2024-11-12,2024,11,12,1,晴れ,14.0,8.1,15.9,29,エチオピア イルガチェフェ,コーヒー愛好家,10.3,69.0
2024-11-13,2024,11,13,2,晴れ,15.0,8.0,15.9,31,エチオピア イルガチェフェ,コーヒー愛好家,7.8,59.1
2024-11-14,2024,11,14,3,晴れ,16.0,8.0,16.4,31,エチオピア イルガチェフェ,コーヒー愛好家,11.1,66.7
2024-11-15,2024,11,15,4,曇り,11.0,8.0,16.4,30,エチオピア イルガチェフェ,コーヒー愛好家,8.6,63.6
2024-11-16,2024,11,16,5,雨,12.0,8.0,16.6,32,エチオピア イルガチェフェ,コーヒー愛好家,11.0,63.3
2024-11-17,2024,11,17,6,曇り,13.0,8.1,16.3,26,エチオピア イルガチェフェ,コーヒー愛好家,10.1,71.3
2024-11-19,2024,11,19,1,晴れ,15.0,8.1,16.3,28,エチオピア イルガチェフェ,コーヒー愛好家,8.6,64.3
2024-11-20,2024,11,20,2,晴れ,16.0,8.1,16.3,27,エチオピア イルガチェフェ,コーヒー愛好家,9.3,63.8
2024-11-20,2024,11,20,2,晴れ,8.0,8.0,16.4,31,エチオピア イルガチェフェ,コーヒー愛好家,9.3,63.8
2024-11-21,2024,11,21,3,晴れ,9.0,8.0,16.2,30,エチオピア イルガチェフェ,コーヒー愛好家,9.3,60.9
2024-11-22,2024,11,22,4,晴れ,10.0,8.0,16.2,32,エチオピア イルガチェフェ,コーヒー愛好家,7.9,67.1
2024-11-23,2024,11,23,5,曇り,11.0,8.0,16.0,29,エチオピア イルガチェフェ,コーヒー愛好家,9.9,61.1
2024-11-24,2024,11,24,6,曇り,12.0,8.1,16.7,35,エチオピア イルガチェフェ,コーヒー愛好家,9.3,68.0
2024-11-26,2024,11,26,1,曇り,14.0,8.1,16.2,26,エチオピア イルガチェフェ,コーヒー愛好家,11.2,65.5
2024-11-27,2024,11,27,2,晴れ,15.0,8.1,16.3,28,エチオピア イルガチェフェ,コーヒー愛好家,7.6,69.8
2024-11-28,2024,11,28,3,晴れ,16.0,8.1,16.5,27,エチオピア イルガチェフェ,コーヒー愛好家,10.7,64.9
2024-11-29,2024,11,29,4,晴れ,17.0,8.1,16.8,27,エチオピア イルガチェフェ,コーヒー愛好家,8.1,64.8
2024-11-30,2024,11,30,5,晴れ,11.0,8.1,15.5,34,エチオピア イルガチェフェ,コーヒー愛好家,9.0,66.7
2024-12-01,2024,12,1,6,晴れ,12.0,8.1,15.5,26,エチオピア イルガチェフェ,コーヒー愛好家,3.2,63.8
2024-12-03,2024,12,3,1,晴れ,14.0,8.1,16.0,33,エチオピア イルガチェフェ,コーヒー愛好家,5.3,65.7
2024-12-04,2024,12,4,2,曇り,15.0,8.1,16.2,28,エチオピア イルガチェフェ,コーヒー愛好家,3.4,62.2
2024-12-05,2024,12,5,3,晴れ,10.0,8.1,16.8,33,エチオピア イルガチェフェ,コーヒー愛好家,3.2,67.2
2024-12-06,2024,12,6,4,晴れ,11.0,8.1,16.8,36,エチオピア イルガチェフェ,コーヒー愛好家,3.4,66.3
2024-12-07,2024,12,7,5,晴れ,12.0,8.1,16.5,32,エチオピア イルガチェフェ,コーヒー愛好家,2.2,70.7
2024-12-08,2024,12,8,6,晴れ,13.0,8.2,16.5,28,エチオピア イルガチェフェ,コーヒー愛好家,2.8,62.9
2024-12-10,2024,12,10,1,曇り,15.0,8.2,16.5,28,エチオピア イルガチェフェ,コーヒー愛好家,2.8,67.0
2024-12-11,2024,12,11,2,晴れ,16.0,8.2,16.5,28,エチオピア イルガチェフェ,コーヒー愛好家,3.2,65.1
2024-12-12,2024,12,12,3,晴れ,10.0,8.1,16.5,27,エチオピア イルガチェフェ,コーヒー愛好家,1.7,63.3
